Item,Location Name,County,Address,City,Phone,Details,Website,,,
Polystyrene,RJ Evercrest Polymers Incorporated,Chester, 1234 Wrights Ln, West Chester,610-647-1555,"HDPE, LDPE, PET, Nylon, Polycarbonate, PP, PS, PVC (Post-Industrial Only)",WWW.EVERCRESTINC.COM ,,,
Pool Chemicals,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Propane Tanks,Bannon Metals Company,Chester, 514 Twin County Rd, Honey Brook,610-286-9797,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",http://www.bannonmetals.webs.com ,,,
Propane Tanks,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans",WWW.COATESVILLESCRAP.COM ,,,
Propane Tanks,"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Catalytic Converters, Stainless Steel ",www.harrismetals.net ,,,
Propane Tanks,"J E  Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel ",www.jekodishscrapmetal.com ,,,
Propane Tanks,Laurel Recycling,Chester, 1000 S 1st Ave, Coatesville,610-383-5999,"Aluminum Scrap, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel ",,,,
Propane Tanks,Phoenixville Scrap Company,Chester, 705 St Mary's St, Phoenixville,610-935-9363,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",WWW.MAYERPOLLOCK.COM ,,,
Refrigerators,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
Refrigerators,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Freon Containing Appliances,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Refrigerators,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Freon Containing Appliances,http://seccra.org/other-recycling/,,,
Scrap & Metal,Bannon Metals Company,Chester, 514 Twin County Rd, Honey Brook,610-286-9797,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",http://www.bannonmetals.webs.com ,,,
Scrap & Metal,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans",WWW.COATESVILLESCRAP.COM ,,,
Scrap & Metal,"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Catalytic Converters, Stainless Steel ",www.harrismetals.net ,,,
Scrap & Metal,"J E  Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel ",www.jekodishscrapmetal.com ,,,
Scrap & Metal,Laurel Recycling,Chester, 1000 S 1st Ave, Coatesville,610-383-5999,"Aluminum Scrap, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel ",,,,
Scrap & Metal,Phoenixville Scrap Company,Chester, 705 St Mary's St, Phoenixville,610-935-9363,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",WWW.MAYERPOLLOCK.COM ,,,
Solvents,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Styrofoam/Expanded Polystyrene,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"HDPE, LDPE, PET, Plastic #7, PP, PS, PVC",www.AJBlosenski.com ,,,
Styrofoam/Expanded Polystyrene,RJ Evercrest Polymers Incorporated,Chester, 1234 Wrights Ln, West Chester,610-647-1555,"HDPE, LDPE, PET, Nylon, Polycarbonate, PP, PS, PVC (Post-Industrial Only)",WWW.EVERCRESTINC.COM ,,,
Telephone Books,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Telephone Books,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Telephone Books,"Recycling Express, Inc.",Chester, 526 Lancaster Ave Unit 3 ,Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Telephone Books,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Telephone Books,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Televisions,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,All Electronics,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Televisions,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,All Electronics Including Cell Phones,http://seccra.org/other-recycling/,,,
Televisions,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,All Electronics,http://www.west-chester.com/160/Recycling,,,
Tires,"Expanko, Inc.",Chester, 180 Gordon Dr, STE 113 Exton,1-800-345-6202,Post-Industrial Waste Rubber (No Whole Tires) ,WWW.EXPANKO.COM ,,,
Tires,Keslick & Sons Modern Aboriculture Products,Chester, 214 N Penn St, West Chester,610-696-5353,Inner Tubes only (No Whole Tires) ,www.treedictionary.com ,,,
Tires,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Auto, Truck, and Tractor Tires",http://seccra.org/other-recycling/,,,
Wood,"John Rock, Inc.",Chester, 500 Independence Way Coatesville, PA ,610-857-8080,Wooden Pallets Only,www.johnrock.com ,,,
Yard Waste,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Unchipped Brush and Limbs, Grass, Leaves, and Chipped Brush",http://seccra.org/other-recycling/,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
