Item,Location Name,County,Address,City,Phone,Details,Website,
Styrofoam/Expanded Polystyrene,Insulation Corporation of America,Lehigh, 2571 Mitchell Ave, Allentown,610-791-4200,PS,www.insulationcorp.com ,
Styrofoam/Expanded Polystyrene,International Polymers Corporation,Lehigh, 426 S Aubrey St, Allentown,610-437-5463,"PP, PS ",www.ipc.org.nz ,
Styrofoam/Expanded Polystyrene,Lafarge Cement North America,Lehigh, 5160 Main St, Whitehall,610-261-3222,"LDPE, PP, PS, Plastic #7",www.lafarge-na.com ,
Styrofoam/Expanded Polystyrene,"Liberty Recycling, Inc.",Lehigh, 526 N 3rd St, Allentown,610-433-0129,PS,www.libertyrecycling.com ,
Styrofoam/Expanded Polystyrene,"National Plastics & Manufacturing Co., Inc.",Lehigh, 1139 Lehigh Ave, STE 200 Whitehall,610-250-7800,"HDPE, LDPE, PET, Plastic Films, PP, PS, PVC, and Other Plastics ",www.natplasticsinc.com ,
Telephone Books,Allentown Recycling Center,Lehigh, 1400 Martin Luther King Jr Dr, Allentown,610-437-8729,"Brown Bags and Sacks, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger",www.allentownrecyclers.org ,
Telephone Books,Good Shepherd Work Services Recycling,Lehigh, 1901 Lehigh St, Allentown,610-776-8350,Newspapers ,,
Telephone Books,Lehigh Valley Recycling,Lehigh, 3947 Portland St, Coplay,610-261-9139,"Corrugated Containers, Office Paper, Newspaper ",www.jpmascaro.com ,
Telephone Books,"Liberty Recycling, Inc.",Lehigh, 526 N 3rd St, Allentown,610-433-0129,"Corrugated Containers, Newspaper, White Ledger",www.libertyrecycling.com ,
Televisions,Allentown Recycling Events ,Lehigh, 1401 Oxford Dr, Allentown,610.437.8729,"computers, keyboards, monitors, electronics, printers, scanners, laptops, and televisions *CITY OF ALLENTOWN RESIDENTS ONLY*",http://www.allentownpa.gov/Public-Works/Recycling-Solid-Waste/Electronics-Recycling,
Televisions,GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,"CRT Televisions/CRT Monitors (Cathode Ray Tube), Projection Televisions, LED/LCD/Plasma Televisions, LED/LCD Monitors",http://www.gersolutions.net/items/,
Tires,Lafarge Cement North America,Lehigh, 5160 Main St, Whitehall,610-261-3222,Whole Tires,www.lafarge-na.com ,
Toner/Laser Cartridges,GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,"Ink Cartridges
Toner ",http://www.gersolutions.net/items/,
Wood,Bird Abodes,Lehigh, 4719 Sheeprock Rd, Macungie,484-358-8064,Wood Waste,www.birdabodes.net ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
