Item,Location Name,County,Street,City ,Phone Number,Fees/Specifics,Website
Glass,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Brown, Clear, and Green ",www.goodsdisposalservice.com
Glass,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,"Brown, Clear, and Green ",www.lcswma.org
Grease,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Greeting Cards,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Greeting Cards,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Greeting Cards,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Greeting Cards,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Greeting Cards,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Greeting Cards,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Greeting Cards,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Greeting Cards,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Greeting Cards,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Hazardous Waste,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Helium Tanks,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.ascarriers.com
Helium Tanks,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Brass, Copper, Stainless Steel, Steel Cans ",www.beartownrecycling.com
Helium Tanks,Colonial Metals Co.,Lancaster, 217 Linden St, Columbia,717-684-2311,"Brass, Bronze, Copper, Tin, Nickel ",www.colonialmetalsco.com
Helium Tanks,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,"Aluminum Scrap, Steel Drums, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",ephratarecyclingpa.com
Helium Tanks,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.fullcirclerecyclingpa.com
Helium Tanks,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Copper, Brass ",www.fullcirclerecyclingpa.com
Helium Tanks,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Non-Ferrous Metal, Steel and Tin Cans ",www.goodsdisposalservice.com
Helium Tanks,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.jamesgroff.com
Helium Tanks,Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,"Aluminum Scrap, Iron, Copper, Brass, High Temp Alloys, Specialty Metals, Precious Metals ",
Helium Tanks,"Pequea Home Salvage, LLC",Lancaster, 360 Radcliff Rd, Willow Street,717-464-4461,"Aluminum Scrap, Ferrous Metal, Copper ",
Helium Tanks,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Steel Drums ,WWW.RELBOX.COM
Helium Tanks,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,"Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.rubinsteel.com
Helium Tanks,Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://recycleyourmetal.com
Helium Tanks,Tranzact Corporation,Lancaster, 350 N Marshall St, Lancaster,717-290-2891,"High Temp Metals (Molybdenum, Tungsten, Chromium)",www.tranzactinc.com
Humidifier,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Humidifier,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Humidifier,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,White Goods (No Freon),ephratarecyclingpa.com
Humidifier,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods ,www.fullcirclerecyclingpa.com
Humidifier,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Humidifier,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Humidifier,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods ,www.jamesgroff.com
Humidifier,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods ,www.lcswma.org
Humidifier,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods ,www.rubinsteel.com
Ink Cartridges,Laser Plus,Lancaster, 205 Granite Run Dr STE 120, Lancaster,717-397-1377,Laser Toner Cartridges ,WWW.LASERPLUSUSA.COM
Junk Mail,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Junk Mail,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Junk Mail,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Junk Mail,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Junk Mail,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Junk Mail,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Junk Mail,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Junk Mail,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Junk Mail,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Kerosene,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Mercury,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Microwaves,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Microwaves,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Microwaves,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,White Goods (No Freon),ephratarecyclingpa.com
Microwaves,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods ,www.fullcirclerecyclingpa.com
Microwaves,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Microwaves,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Microwaves,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods ,www.jamesgroff.com
Microwaves,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods ,www.lcswma.org
Microwaves,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods ,www.rubinsteel.com
Milk Cartons & Drink Boxes,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Milk Cartons & Drink Boxes,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Milk Cartons & Drink Boxes,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Milk Cartons & Drink Boxes,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Milk Cartons & Drink Boxes,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Milk Cartons & Drink Boxes,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Milk Cartons & Drink Boxes,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Milk Cartons & Drink Boxes,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Milk Cartons & Drink Boxes,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Mobile Phones,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Motor Oil,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Oil,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Paint (Oil/Solvent Base),Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Paper,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Paper,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Paper,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Paper,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Paper,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Paper,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Paper,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Paper,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Paper,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Paper Shredding,Shred-it,Lancaster,595 East Oregon Rd, Lititz,717-826-0444,,www.shredit.com/Central-PA/Home
Pesticides,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Phone Books,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Phone Books,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Phone Books,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Phone Books,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Phone Books,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Phone Books,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Phone Books,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Phone Books,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Phone Books,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Phones,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Plastic,"Casual Living Products Unlimited, LLC",Lancaster, 172 Orlan Rd, New Holland,1-888-846-7177,HDPE,www.clunlimited.com
Plastic,Dart Container Corp.,Lancaster, 60 E Main St, Leola,717-656-2236,"PS (Clean Only), 24-hour Drop-Off Site Available ",WWW.DARTCONTAINER.COM
Plastic,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"HDPE, PET",www.goodsdisposalservice.com
Plastic,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,"HDPE, PET",www.lcswma.org
Plastic,North American Pipe Corporation,Lancaster, 88 Newport Rd, Leola,717-656-2526,PVC,WWW.NORTHAMERICANPIPE.COM
Plastic,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,"LDPE, Various Agricultural Plastics ",www.ronthebagman.com
Plastic,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,Plastic Films ,www.ram-corporation.com
Plastic,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Plastic Drums, HDPE",WWW.RELBOX.COM
Plastic Bottle Caps,Trash,Lancaster,,,,,
Pool Chemicals,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Propane Tanks,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.ascarriers.com
Propane Tanks,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Brass, Copper, Stainless Steel, Steel Cans ",www.beartownrecycling.com
Propane Tanks,Colonial Metals Co.,Lancaster, 217 Linden St, Columbia,717-684-2311,"Brass, Bronze, Copper, Tin, Nickel ",www.colonialmetalsco.com
Propane Tanks,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,"Aluminum Scrap, Steel Drums, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",ephratarecyclingpa.com
Propane Tanks,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.fullcirclerecyclingpa.com
Propane Tanks,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Copper, Brass ",www.fullcirclerecyclingpa.com
Propane Tanks,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Non-Ferrous Metal, Steel and Tin Cans ",www.goodsdisposalservice.com
Propane Tanks,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.jamesgroff.com
Propane Tanks,Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,"Aluminum Scrap, Iron, Copper, Brass, High Temp Alloys, Specialty Metals, Precious Metals ",
Propane Tanks,"Pequea Home Salvage, LLC",Lancaster, 360 Radcliff Rd, Willow Street,717-464-4461,"Aluminum Scrap, Ferrous Metal, Copper ",
Propane Tanks,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Steel Drums ,WWW.RELBOX.COM
Propane Tanks,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,"Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.rubinsteel.com
Propane Tanks,Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://recycleyourmetal.com
Propane Tanks,Tranzact Corporation,Lancaster, 350 N Marshall St, Lancaster,717-290-2891,"High Temp Metals (Molybdenum, Tungsten, Chromium)",www.tranzactinc.com
Refrigerators,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Refrigerators,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Refrigerators,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods,www.fullcirclerecyclingpa.com
Refrigerators,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Refrigerators,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Refrigerators,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods,www.jamesgroff.com
Refrigerators,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods,www.lcswma.org
Refrigerators,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods,www.rubinsteel.com
Scrap & Metal,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.ascarriers.com
Scrap & Metal,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Brass, Copper, Stainless Steel, Steel Cans ",www.beartownrecycling.com
Scrap & Metal,Colonial Metals Co.,Lancaster, 217 Linden St, Columbia,717-684-2311,"Brass, Bronze, Copper, Tin, Nickel ",www.colonialmetalsco.com
Scrap & Metal,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,"Aluminum Scrap, Steel Drums, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",ephratarecyclingpa.com
Scrap & Metal,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.fullcirclerecyclingpa.com
Scrap & Metal,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Copper, Brass ",www.fullcirclerecyclingpa.com
Scrap & Metal,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Non-Ferrous Metal, Steel and Tin Cans ",www.goodsdisposalservice.com
Scrap & Metal,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.jamesgroff.com
Scrap & Metal,Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,"Aluminum Scrap, Iron, Copper, Brass, High Temp Alloys, Specialty Metals, Precious Metals ",
Scrap & Metal,"Pequea Home Salvage, LLC",Lancaster, 360 Radcliff Rd, Willow Street,717-464-4461,"Aluminum Scrap, Ferrous Metal, Copper ",
Scrap & Metal,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Steel Drums ,WWW.RELBOX.COM
Scrap & Metal,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,"Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.rubinsteel.com
Scrap & Metal,Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://recycleyourmetal.com
Scrap & Metal,Tranzact Corporation,Lancaster, 350 N Marshall St, Lancaster,717-290-2891,"High Temp Metals (Molybdenum, Tungsten, Chromium)",www.tranzactinc.com
Solvents,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Tanks,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.ascarriers.com
Tanks,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Brass, Copper, Stainless Steel, Steel Cans ",www.beartownrecycling.com
Tanks,Colonial Metals Co.,Lancaster, 217 Linden St, Columbia,717-684-2311,"Brass, Bronze, Copper, Tin, Nickel ",www.colonialmetalsco.com
Tanks,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,"Aluminum Scrap, Steel Drums, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",ephratarecyclingpa.com
Tanks,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.fullcirclerecyclingpa.com
Tanks,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Copper, Brass ",www.fullcirclerecyclingpa.com
Tanks,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Non-Ferrous Metal, Steel and Tin Cans ",www.goodsdisposalservice.com
Tanks,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.jamesgroff.com
Tanks,Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,"Aluminum Scrap, Iron, Copper, Brass, High Temp Alloys, Specialty Metals, Precious Metals ",
Tanks,"Pequea Home Salvage, LLC",Lancaster, 360 Radcliff Rd, Willow Street,717-464-4461,"Aluminum Scrap, Ferrous Metal, Copper ",
Tanks,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Steel Drums ,WWW.RELBOX.COM
Tanks,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,"Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.rubinsteel.com
Tanks,Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://recycleyourmetal.com
Tanks,Tranzact Corporation,Lancaster, 350 N Marshall St, Lancaster,717-290-2891,"High Temp Metals (Molybdenum, Tungsten, Chromium)",www.tranzactinc.com
Telephone Books,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Telephone Books,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Telephone Books,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
