Item,Location Name,County,Address,City,Phone,Details,Website,,
Tanks,"H. Blinderman & Son, Inc.",Northampton, 1320 Whitaker St, Hellertown,610-838-9221,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Catalytic Converters, Stainless Steel ",http://hblindermanscrap.com ,,
Tanks,"J.F.R. Salvage, Inc.",Northampton, 6500 Sullivan Trail, Wind Gap,610-863-6071,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Catalytic Converters, Stainless Steel, Steel Cans ",www.jfrsalvage.com ,,
Tanks,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,Ferrous Metals,www.rpmmetals.com ,,
Tanks,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,"Ferrous Metal, Non-Ferrous Metal, Steel Cans ",www.swinthauling.com ,,
Tanks,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel, Steel Cans, Aerosol/Paint Cans",www.wm.com ,,
Telephone Books,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Boxboard, Paper Bags, Corrugated Containers, Juice Boxes, Magazines, Newspapers, Catalogs, Junk Mail, Wrapping Paper, Folders, Phone Books, Poly-Coated Cartons",www.wm.com ,,
Televisions,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Thermostats,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Thermostats,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Tires,"Earth First Recycling, LLC",Northampton, 4323 Richmond Rd, Easton,610-438-8330,Whole Tires,,,
Toner/Laser Cartridges,,Northampton,,,,,,,
Wood,"Hess Wood Recycling, Inc.",Northampton, 2357 Newlins Mill Rd, Easton,610-614-9070,Wood Pallets,www.hesswoodrecycling.com,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
